,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5anCkDvJ17aznvK5TED5uo,Hail to the King,Avenged Sevenfold,['Avenged Sevenfold'],0.58,0.916,3,-4.358,0,0.000297,0.0259,0.126,0.683,118.004,305907,4
1,5TNhjanmvwvmjCz2WYwSAv,Square Hammer,Ghost,['Ghost'],0.53,0.903,2,-4.396,0,3.31e-05,0.182,0.259,0.747,129.983,239293,4
2,2bPGTMB5sFfFYQ2YvSmup0,Deutschland,Rammstein,['Rammstein'],0.521,0.895,7,-5.242,1,5.54e-05,0.349,0.0985,0.237,120.117,322340,4
3,6vhuve6vceQE6yNCcK2rct,The Devil in I,Slipknot,['Slipknot'],0.398,0.939,9,-2.865,0,0.00591,0.000881,0.357,0.235,92.027,342821,4
4,68osIGtVjM7QWVe6pazLHj,Shadow Moses,Bring Me The Horizon,['Bring Me The Horizon'],0.456,0.985,6,-2.949,1,0.000235,0.00368,0.103,0.183,143.006,243320,4
5,60fUDmIWuKhngaeBIVhqIV,Stranded,Gojira,['Gojira'],0.513,0.88,7,-4.69,0,9.59e-05,0.00614,0.0824,0.495,92.358,269533,4
6,0QV3swr7L8MZr72lL2izV1,Hardwired,Metallica,['Metallica'],0.128,0.991,11,-3.289,1,1.11e-05,0.00362,0.219,0.53,186.124,189347,4
7,3TjQAc2PzWzlSDrnq61J1y,The Devil's Bleeding Crown,Volbeat,['Volbeat'],0.32,0.909,7,-4.612,1,1.62e-05,0.139,0.0443,0.21,109.649,238653,3
8,0KiRc3f3OI9C7s0S1QjQNO,Dystopia,Megadeth,['Megadeth'],0.273,0.988,10,-2.934,0,6.96e-05,0.0115,0.0891,0.156,110.051,299107,4
9,03sEzk1VyrUZSgyhoQR0LZ,Pneuma,TOOL,['TOOL'],0.415,0.53,9,-9.338,0,0.00209,0.75,0.11,0.0586,114.174,713192,1
10,0AHHDAHFRaT82UVw5fMr1R,Vice Grip,Parkway Drive,['Parkway Drive'],0.48,0.988,11,-3.229,0,3.17e-05,0.00432,0.389,0.252,124.041,263587,4
11,25GC50HslaaruyrKjdu0lP,Your Betrayal,Bullet For My Valentine,['Bullet For My Valentine'],0.569,0.883,2,-4.41,0,8.07e-05,7.74e-05,0.0883,0.373,134.001,291427,4
12,3aDk3jbx42YJLCeAwGW7n8,Locust,Machine Head,['Machine Head'],0.348,0.956,7,-3.635,1,7.49e-05,0.0201,0.125,0.221,122.815,456320,4
13,5yDJpu0xh0d1w13gXaE3lS,The Heart from Your Hate,Trivium,['Trivium'],0.582,0.928,10,-4.659,0,0.00876,5.03e-06,0.297,0.565,113.043,243853,4
14,2QusYlHgyVRNu05c36wWlJ,Sail,DevilDriver,['DevilDriver'],0.455,0.965,3,-4.24,0,0.000676,0.00784,0.226,0.155,119.04,246480,4
